e47f49d7-eee7-4ad8-b17b-4841805ac3a52026-02-09 19:46:56,672 - license_client - INFO - Загружен сохраненный HWID: CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 19:54:21,812 - license_client - WARNING - Лицензия стала недействительной
2026-02-09 19:55:39,235 - license_client - INFO - Загружен сохраненный HWID: CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 19:55:39,297 - license_client - INFO - Инициализирован HWID: CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 19:55:39,302 - license_client - INFO - Лицензия действительна до 2026-02-10 16:48:04.503768
2026-02-09 19:55:39,308 - license_client - INFO - Загружена лицензия: True
2026-02-09 19:55:39,311 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 19:55:39,424 - license_client - ERROR - Лицензия принудительно отключена
2026-02-09 19:55:43,029 - license_client - INFO - Регистрация ключа: e47f49d7...
2026-02-09 19:55:43,040 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 19:55:43,156 - license_client - ERROR - Лицензия принудительно отключена
2026-02-09 19:55:43,174 - license_client - ERROR - Ошибка активации: Лицензия принудительно отключена
2026-02-09 19:55:43,999 - license_client - INFO - Регистрация ключа: e47f49d7...
2026-02-09 19:55:44,045 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 19:55:44,162 - license_client - ERROR - Лицензия принудительно отключена
2026-02-09 19:55:44,171 - license_client - ERROR - Ошибка активации: Лицензия принудительно отключена
2026-02-09 19:55:44,882 - license_client - INFO - Регистрация ключа: e47f49d7...
2026-02-09 19:55:44,917 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 19:55:45,642 - license_client - ERROR - Лицензия принудительно отключена
2026-02-09 19:55:45,666 - license_client - ERROR - Ошибка активации: Лицензия принудительно отключена
2026-02-09 19:55:54,837 - license_client - INFO - Регистрация ключа: e47f49d7...
2026-02-09 19:55:54,847 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 19:55:54,966 - license_client - INFO - Лицензия сохранена
2026-02-09 19:55:54,972 - license_client - INFO - Лицензия действительна
2026-02-09 19:55:54,977 - license_client - INFO - Лицензия успешно активирована
2026-02-09 19:55:56,593 - license_client - INFO - Запущена фоновая проверка лицензии
2026-02-09 19:56:08,552 - license_client - INFO - Фоновая проверка остановлена
2026-02-09 19:56:10,643 - license_client - INFO - Фоновая проверка остановлена
2026-02-09 19:56:56,607 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 19:56:56,743 - license_client - INFO - Лицензия сохранена
2026-02-09 19:56:56,749 - license_client - INFO - Лицензия действительна
2026-02-09 19:56:56,756 - license_client - INFO - Лицензия сохранена
2026-02-09 20:11:32,778 - license_client - INFO - Загружен сохраненный HWID: CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 20:11:32,835 - license_client - INFO - Инициализирован HWID: CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 20:11:32,840 - license_client - INFO - Лицензия действительна до 2026-02-10 16:48:04.503768
2026-02-09 20:11:32,844 - license_client - INFO - Загружена лицензия: True
2026-02-09 20:11:32,848 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 20:11:33,985 - license_client - INFO - Лицензия сохранена
2026-02-09 20:11:33,991 - license_client - INFO - Лицензия действительна
2026-02-09 20:11:34,432 - license_client - INFO - Запущена фоновая проверка лицензии
2026-02-09 20:11:44,937 - license_client - INFO - Фоновая проверка остановлена
2026-02-09 20:11:46,987 - license_client - INFO - Фоновая проверка остановлена
2026-02-09 20:12:34,445 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 20:12:34,619 - license_client - INFO - Лицензия сохранена
2026-02-09 20:12:34,622 - license_client - INFO - Лицензия действительна
2026-02-09 20:12:34,632 - license_client - INFO - Лицензия сохранена
2026-02-09 20:37:29,900 - license_client - INFO - Загружен сохраненный HWID: CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 20:37:29,952 - license_client - INFO - Инициализирован HWID: CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 20:37:29,955 - license_client - INFO - Лицензия действительна до 2026-02-10 16:48:04.503768
2026-02-09 20:37:29,959 - license_client - INFO - Загружена лицензия: True
2026-02-09 20:37:29,966 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 20:37:30,097 - license_client - INFO - Лицензия сохранена
2026-02-09 20:37:30,103 - license_client - INFO - Лицензия действительна
2026-02-09 20:37:30,550 - license_client - INFO - Запущена фоновая проверка лицензии
2026-02-09 20:38:30,557 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 20:38:31,724 - license_client - INFO - Лицензия сохранена
2026-02-09 20:38:31,763 - license_client - INFO - Лицензия действительна
2026-02-09 20:38:31,767 - license_client - INFO - Лицензия сохранена
2026-02-09 20:39:31,774 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 20:39:31,913 - license_client - INFO - Лицензия сохранена
2026-02-09 20:39:31,918 - license_client - INFO - Лицензия действительна
2026-02-09 20:39:31,925 - license_client - INFO - Лицензия сохранена
2026-02-09 20:40:31,936 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 20:40:32,059 - license_client - INFO - Лицензия сохранена
2026-02-09 20:40:32,063 - license_client - INFO - Лицензия действительна
2026-02-09 20:40:32,069 - license_client - INFO - Лицензия сохранена
2026-02-09 20:41:32,078 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 20:41:32,204 - license_client - INFO - Лицензия сохранена
2026-02-09 20:41:32,222 - license_client - INFO - Лицензия действительна
2026-02-09 20:41:32,225 - license_client - INFO - Лицензия сохранена
2026-02-09 20:41:44,910 - license_client - INFO - Загружен сохраненный HWID: CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 20:41:44,963 - license_client - INFO - Инициализирован HWID: CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 20:41:44,968 - license_client - INFO - Лицензия действительна до 2026-02-10 16:48:04.503768
2026-02-09 20:41:44,972 - license_client - INFO - Загружена лицензия: True
2026-02-09 20:41:44,977 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 20:41:45,152 - license_client - INFO - Лицензия сохранена
2026-02-09 20:41:45,157 - license_client - INFO - Лицензия действительна
2026-02-09 20:41:45,610 - license_client - INFO - Запущена фоновая проверка лицензии
2026-02-09 20:42:45,616 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 20:42:45,764 - license_client - INFO - Лицензия сохранена
2026-02-09 20:42:45,778 - license_client - INFO - Лицензия действительна
2026-02-09 20:42:45,781 - license_client - INFO - Лицензия сохранена
2026-02-09 20:43:45,787 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 20:43:45,904 - license_client - INFO - Лицензия сохранена
2026-02-09 20:43:45,912 - license_client - INFO - Лицензия действительна
2026-02-09 20:43:45,917 - license_client - INFO - Лицензия сохранена
2026-02-09 20:44:45,925 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 20:44:46,054 - license_client - INFO - Лицензия сохранена
2026-02-09 20:44:46,058 - license_client - INFO - Лицензия действительна
2026-02-09 20:44:46,067 - license_client - INFO - Лицензия сохранена
2026-02-09 20:45:46,073 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 20:45:46,279 - license_client - INFO - Лицензия сохранена
2026-02-09 20:45:46,287 - license_client - INFO - Лицензия действительна
2026-02-09 20:45:46,296 - license_client - INFO - Лицензия сохранена
2026-02-09 20:46:46,310 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 20:46:46,452 - license_client - INFO - Лицензия сохранена
2026-02-09 20:46:46,457 - license_client - INFO - Лицензия действительна
2026-02-09 20:46:46,466 - license_client - INFO - Лицензия сохранена
2026-02-09 20:47:46,471 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 20:47:46,606 - license_client - INFO - Лицензия сохранена
2026-02-09 20:47:46,614 - license_client - INFO - Лицензия действительна
2026-02-09 20:47:46,623 - license_client - INFO - Лицензия сохранена
2026-02-09 20:48:46,644 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 20:48:46,794 - license_client - INFO - Лицензия сохранена
2026-02-09 20:48:46,798 - license_client - INFO - Лицензия действительна
2026-02-09 20:48:46,806 - license_client - INFO - Лицензия сохранена
2026-02-09 20:49:46,821 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 20:49:46,954 - license_client - INFO - Лицензия сохранена
2026-02-09 20:49:46,969 - license_client - INFO - Лицензия действительна
2026-02-09 20:49:46,994 - license_client - INFO - Лицензия сохранена
2026-02-09 20:50:47,014 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 20:50:48,167 - license_client - INFO - Лицензия сохранена
2026-02-09 20:50:48,173 - license_client - INFO - Лицензия действительна
2026-02-09 20:50:48,179 - license_client - INFO - Лицензия сохранена
2026-02-09 20:51:48,193 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 20:51:48,313 - license_client - INFO - Лицензия сохранена
2026-02-09 20:51:48,323 - license_client - INFO - Лицензия действительна
2026-02-09 20:51:48,327 - license_client - INFO - Лицензия сохранена
2026-02-09 20:52:48,343 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 20:52:48,483 - license_client - INFO - Лицензия сохранена
2026-02-09 20:52:48,493 - license_client - INFO - Лицензия действительна
2026-02-09 20:52:48,501 - license_client - INFO - Лицензия сохранена
2026-02-09 20:53:48,510 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 20:53:48,636 - license_client - INFO - Лицензия сохранена
2026-02-09 20:53:48,641 - license_client - INFO - Лицензия действительна
2026-02-09 20:53:48,648 - license_client - INFO - Лицензия сохранена
2026-02-09 20:54:48,666 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 20:54:49,843 - license_client - INFO - Лицензия сохранена
2026-02-09 20:54:49,851 - license_client - INFO - Лицензия действительна
2026-02-09 20:54:49,858 - license_client - INFO - Лицензия сохранена
2026-02-09 20:55:49,866 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 20:55:51,089 - license_client - INFO - Лицензия сохранена
2026-02-09 20:55:51,094 - license_client - INFO - Лицензия действительна
2026-02-09 20:55:51,100 - license_client - INFO - Лицензия сохранена
2026-02-09 20:56:51,105 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 20:56:51,256 - license_client - INFO - Лицензия сохранена
2026-02-09 20:56:51,261 - license_client - INFO - Лицензия действительна
2026-02-09 20:56:51,267 - license_client - INFO - Лицензия сохранена
2026-02-09 20:57:51,277 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 20:57:51,456 - license_client - INFO - Лицензия сохранена
2026-02-09 20:57:51,461 - license_client - INFO - Лицензия действительна
2026-02-09 20:57:51,521 - license_client - INFO - Лицензия сохранена
2026-02-09 20:58:51,529 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 20:58:51,699 - license_client - INFO - Лицензия сохранена
2026-02-09 20:58:51,703 - license_client - INFO - Лицензия действительна
2026-02-09 20:58:51,710 - license_client - INFO - Лицензия сохранена
2026-02-09 20:59:51,722 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 20:59:51,846 - license_client - INFO - Лицензия сохранена
2026-02-09 20:59:51,851 - license_client - INFO - Лицензия действительна
2026-02-09 20:59:51,858 - license_client - INFO - Лицензия сохранена
2026-02-09 21:00:51,876 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 21:00:52,065 - license_client - INFO - Лицензия сохранена
2026-02-09 21:00:52,071 - license_client - INFO - Лицензия действительна
2026-02-09 21:00:52,077 - license_client - INFO - Лицензия сохранена
2026-02-09 21:01:52,088 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 21:01:53,276 - license_client - INFO - Лицензия сохранена
2026-02-09 21:01:53,281 - license_client - INFO - Лицензия действительна
2026-02-09 21:01:53,288 - license_client - INFO - Лицензия сохранена
2026-02-09 21:02:53,296 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 21:02:53,407 - license_client - INFO - Лицензия сохранена
2026-02-09 21:02:53,426 - license_client - INFO - Лицензия действительна
2026-02-09 21:02:53,431 - license_client - INFO - Лицензия сохранена
2026-02-09 21:03:53,437 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 21:03:53,569 - license_client - INFO - Лицензия сохранена
2026-02-09 21:03:53,576 - license_client - INFO - Лицензия действительна
2026-02-09 21:03:53,581 - license_client - INFO - Лицензия сохранена
2026-02-09 21:04:53,587 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 21:04:53,711 - license_client - INFO - Лицензия сохранена
2026-02-09 21:04:53,720 - license_client - INFO - Лицензия действительна
2026-02-09 21:04:53,729 - license_client - INFO - Лицензия сохранена
2026-02-09 21:05:53,752 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 21:05:53,929 - license_client - INFO - Лицензия сохранена
2026-02-09 21:05:53,941 - license_client - INFO - Лицензия действительна
2026-02-09 21:05:53,953 - license_client - INFO - Лицензия сохранена
2026-02-09 21:06:53,977 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 21:06:54,155 - license_client - INFO - Лицензия сохранена
2026-02-09 21:06:54,160 - license_client - INFO - Лицензия действительна
2026-02-09 21:06:54,168 - license_client - INFO - Лицензия сохранена
2026-02-09 21:07:54,182 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 21:07:54,341 - license_client - INFO - Лицензия сохранена
2026-02-09 21:07:54,344 - license_client - INFO - Лицензия действительна
2026-02-09 21:07:54,351 - license_client - INFO - Лицензия сохранена
2026-02-09 21:08:54,371 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 21:08:54,509 - license_client - INFO - Лицензия сохранена
2026-02-09 21:08:54,514 - license_client - INFO - Лицензия действительна
2026-02-09 21:08:54,522 - license_client - INFO - Лицензия сохранена
2026-02-09 21:09:54,542 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 21:09:54,668 - license_client - INFO - Лицензия сохранена
2026-02-09 21:09:54,675 - license_client - INFO - Лицензия действительна
2026-02-09 21:09:54,679 - license_client - INFO - Лицензия сохранена
2026-02-09 21:10:54,696 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 21:10:54,819 - license_client - INFO - Лицензия сохранена
2026-02-09 21:10:54,823 - license_client - INFO - Лицензия действительна
2026-02-09 21:10:54,830 - license_client - INFO - Лицензия сохранена
2026-02-09 21:11:54,844 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 21:11:55,308 - license_client - INFO - Лицензия сохранена
2026-02-09 21:11:55,341 - license_client - INFO - Лицензия действительна
2026-02-09 21:11:55,347 - license_client - INFO - Лицензия сохранена
2026-02-09 21:12:55,363 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 21:12:55,492 - license_client - INFO - Лицензия сохранена
2026-02-09 21:12:55,497 - license_client - INFO - Лицензия действительна
2026-02-09 21:12:55,507 - license_client - INFO - Лицензия сохранена
2026-02-09 21:13:55,525 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 21:13:55,693 - license_client - INFO - Лицензия сохранена
2026-02-09 21:13:55,698 - license_client - INFO - Лицензия действительна
2026-02-09 21:13:55,705 - license_client - INFO - Лицензия сохранена
2026-02-09 21:14:55,717 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 21:14:55,878 - license_client - INFO - Лицензия сохранена
2026-02-09 21:14:55,883 - license_client - INFO - Лицензия действительна
2026-02-09 21:14:55,891 - license_client - INFO - Лицензия сохранена
2026-02-09 21:15:55,898 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 21:15:56,046 - license_client - INFO - Лицензия сохранена
2026-02-09 21:15:56,061 - license_client - INFO - Лицензия действительна
2026-02-09 21:15:56,071 - license_client - INFO - Лицензия сохранена
2026-02-09 21:16:56,091 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 21:16:56,231 - license_client - INFO - Лицензия сохранена
2026-02-09 21:16:56,239 - license_client - INFO - Лицензия действительна
2026-02-09 21:16:56,247 - license_client - INFO - Лицензия сохранена
2026-02-09 21:17:56,270 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 21:17:56,416 - license_client - INFO - Лицензия сохранена
2026-02-09 21:17:56,423 - license_client - INFO - Лицензия действительна
2026-02-09 21:17:56,429 - license_client - INFO - Лицензия сохранена
2026-02-09 21:18:56,456 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 21:18:56,617 - license_client - INFO - Лицензия сохранена
2026-02-09 21:18:56,622 - license_client - INFO - Лицензия действительна
2026-02-09 21:18:56,629 - license_client - INFO - Лицензия сохранена
2026-02-09 21:19:56,642 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 21:19:56,793 - license_client - INFO - Лицензия сохранена
2026-02-09 21:19:56,798 - license_client - INFO - Лицензия действительна
2026-02-09 21:19:56,804 - license_client - INFO - Лицензия сохранена
2026-02-09 21:20:56,821 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 21:20:57,035 - license_client - INFO - Лицензия сохранена
2026-02-09 21:20:57,040 - license_client - INFO - Лицензия действительна
2026-02-09 21:20:57,046 - license_client - INFO - Лицензия сохранена
2026-02-09 21:21:57,053 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 21:21:57,179 - license_client - INFO - Лицензия сохранена
2026-02-09 21:21:57,183 - license_client - INFO - Лицензия действительна
2026-02-09 21:21:57,190 - license_client - INFO - Лицензия сохранена
2026-02-09 21:22:57,209 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 21:22:57,335 - license_client - INFO - Лицензия сохранена
2026-02-09 21:22:57,344 - license_client - INFO - Лицензия действительна
2026-02-09 21:22:57,352 - license_client - INFO - Лицензия сохранена
2026-02-09 21:23:57,365 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 21:23:57,487 - license_client - INFO - Лицензия сохранена
2026-02-09 21:23:57,493 - license_client - INFO - Лицензия действительна
2026-02-09 21:23:57,499 - license_client - INFO - Лицензия сохранена
2026-02-09 21:24:57,513 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 21:24:57,930 - license_client - INFO - Лицензия сохранена
2026-02-09 21:24:57,935 - license_client - INFO - Лицензия действительна
2026-02-09 21:24:57,947 - license_client - INFO - Лицензия сохранена
2026-02-09 21:25:57,966 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 21:25:58,097 - license_client - INFO - Лицензия сохранена
2026-02-09 21:25:58,102 - license_client - INFO - Лицензия действительна
2026-02-09 21:25:58,108 - license_client - INFO - Лицензия сохранена
2026-02-09 21:26:58,125 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 21:26:58,313 - license_client - INFO - Лицензия сохранена
2026-02-09 21:26:58,318 - license_client - INFO - Лицензия действительна
2026-02-09 21:26:58,324 - license_client - INFO - Лицензия сохранена
2026-02-09 21:27:58,334 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 21:27:58,481 - license_client - INFO - Лицензия сохранена
2026-02-09 21:27:58,484 - license_client - INFO - Лицензия действительна
2026-02-09 21:27:58,492 - license_client - INFO - Лицензия сохранена
2026-02-09 21:29:00,237 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 21:29:00,367 - license_client - INFO - Лицензия сохранена
2026-02-09 21:29:00,372 - license_client - INFO - Лицензия действительна
2026-02-09 21:29:00,379 - license_client - INFO - Лицензия сохранена
2026-02-09 21:30:00,401 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 21:30:00,573 - license_client - INFO - Лицензия сохранена
2026-02-09 21:30:00,594 - license_client - INFO - Лицензия действительна
2026-02-09 21:30:00,602 - license_client - INFO - Лицензия сохранена
2026-02-09 21:31:00,614 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 21:31:00,789 - license_client - INFO - Лицензия сохранена
2026-02-09 21:31:00,794 - license_client - INFO - Лицензия действительна
2026-02-09 21:31:00,801 - license_client - INFO - Лицензия сохранена
2026-02-09 21:32:00,812 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 21:32:00,999 - license_client - INFO - Лицензия сохранена
2026-02-09 21:32:01,004 - license_client - INFO - Лицензия действительна
2026-02-09 21:32:01,021 - license_client - INFO - Лицензия сохранена
2026-02-09 21:33:01,026 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 21:33:01,173 - license_client - INFO - Лицензия сохранена
2026-02-09 21:33:01,190 - license_client - INFO - Лицензия действительна
2026-02-09 21:33:01,198 - license_client - INFO - Лицензия сохранена
2026-02-09 21:34:01,206 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 21:34:01,371 - license_client - INFO - Лицензия сохранена
2026-02-09 21:34:01,375 - license_client - INFO - Лицензия действительна
2026-02-09 21:34:01,382 - license_client - INFO - Лицензия сохранена
2026-02-09 21:35:01,391 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 21:35:01,509 - license_client - INFO - Лицензия сохранена
